sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
B-H2,Banana H2,Banana,H2,B H2,6013,5333,nest_soil,soil,soil,soil,26,6.101747482,0.884975889,12.84567288,119,seeds
B-I4,Banana I4,Banana,I4,B I4,19516,16975,nest_soil,soil,soil,soil,32,7.112091633,0.883506266,21.41766573,265,brood
B-J4,Banana J4,Banana,J4,B J4,8196,7135,nest_soil,soil,soil,soil,20,6.661444921,0.912054339,17.29312814,158,brood
B-K3,Banana K3,Banana,K3,B K3,8722,7653,nest_soil,soil,soil,soil,12,6.687992281,0.90160761,18.55958677,171,brood/seeds
B-L5,Banana L5,Banana,L5,B L5,6713,5956,nest_soil,soil,soil,soil,14,6.060371675,0.863009719,15.9326253,130,brood
C-A2,Carrot A2,Carrot,A2,C A2,9485,8395,nest_soil,soil,soil,soil,40,6.831334728,0.912814389,17.74634588,179,ants
C-B2,Carrot B2,Carrot,B2,C B2,8616,7696,nest_soil,soil,soil,soil,30,6.780679293,0.918330289,16.05994013,167,ants
C-C3,Carrot C3,Carrot,C3,C C3,8265,7262,nest_soil,soil,soil,soil,38,6.82953733,0.915557335,18.45995343,176,seeds
C-D3,Carrot D3,Carrot,D3,C D3,13295,11788,nest_soil,soil,soil,soil,22,7.221276124,0.91328899,20.56981827,240,seeds
C-E1,Carrot E1,Carrot,E1,C E1,12499,10634,nest_soil,soil,soil,soil,34,6.687509159,0.906776055,14.32998675,166,empty
C-F3,Carrot F3,Carrot,F3,C F3,9232,8266,nest_soil,soil,soil,soil,36,5.938378869,0.820398842,13.53345794,151,brood/reproductive
C-G2,Carrot G2,Carrot,G2,C G2,8363,7304,nest_soil,soil,soil,soil,26,6.687303729,0.921447754,16.01866402,153,ants
C-H1,Carrot H1,Carrot,H1,C H1,16624,15063,nest_soil,soil,soil,soil,30,6.687169508,0.848341028,17.4512071,236,empty
C-I4,Carrot I4,Carrot,I4,C I4,10246,9036,nest_soil,soil,soil,soil,26,6.63620147,0.896677419,17.97070752,169,seeds
C-K2,Carrot K2,Carrot,K2,C K2,7819,6077,nest_soil,soil,soil,soil,6,5.118736351,0.814384851,10.64439003,78,seeds
DC-A1,DC A1,DC,A1,DC A1,8486,7282,nest_soil,soil,soil,soil,16,6.848825426,0.912228658,18.09338106,182,empty
DC-B1,DC B1,DC,B1,DC B1,9692,8340,nest_soil,soil,soil,soil,28,6.325681417,0.886005451,13.96360316,141,empty
DC-C2,DC C2,DC,C2,DC C2,14340,12426,nest_soil,soil,soil,soil,30,6.902344162,0.90470855,18.66840355,198,ants
DC-D2,DC D2,DC,D2,DC D2,8664,7254,nest_soil,soil,soil,soil,25,6.424630667,0.902469988,15.93159799,139,ants
DC-G3,DC G3,DC,G3,DC G3,6107,5374,nest_soil,soil,soil,soil,13,6.393005854,0.919301896,12.1875128,124,seeds
DC-H2,DC H2,DC,H2,DC H2,10699,8896,nest_soil,soil,soil,soil,30,6.336376291,0.878898298,16.21296747,148,ants
DC-I2,DC I2,DC,I2,DC I2,9361,7786,nest_soil,soil,soil,soil,24,5.983506383,0.854786626,12.29913828,128,ants
DC-J2,DC J2,DC,J2,DC J2,8322,7246,nest_soil,soil,soil,soil,19,6.506369794,0.902477548,14.8536333,148,ants
DC-K2,DC K2,DC,K2,DC K2,11037,9479,nest_soil,soil,soil,soil,18,7.031002461,0.908226112,20.27220644,214,ants
DC-L2,DC L2,DC,L2,DC L2,7767,6898,nest_soil,soil,soil,soil,14,6.58215924,0.905786788,13.90680015,154,ants
DC-M4,DC M4,DC,M4,DC M4,6699,5812,nest_soil,soil,soil,soil,36,6.216884518,0.897001894,14.37099988,122,seeds
DC-N2,DC N2,DC,N2,DC N2,8190,7027,nest_soil,soil,soil,soil,53,6.569063988,0.897176796,16.83307586,160,ants
DC-O4,DC O4,DC,O4,DC O4,7846,6604,nest_soil,soil,soil,soil,39,6.081092365,0.885119293,12.62473702,117,brood/reproductive
DC-P4,DC P4,DC,P4,DC P4,8856,7626,nest_soil,soil,soil,soil,49,6.621889549,0.895779925,17.1280585,168,brood
DC-Q4,DC Q4,DC,Q4,DC Q4,10094,8846,nest_soil,soil,soil,soil,49,6.636305671,0.874065621,19.75685139,193,brood/reproductive
E-B2,Eggplant B2,Eggplant,B2,E B2,8744,7721,nest_soil,soil,soil,soil,29,6.826049836,0.90541266,20.25174513,186,ants
E-C2,Eggplant C2,Eggplant,C2,E C2,9641,8361,nest_soil,soil,soil,soil,25,7.03194457,0.922578951,19.54648706,197,ants
E-D2,Eggplant D2,Eggplant,D2,E D2,18968,15999,nest_soil,soil,soil,soil,28,6.943752294,0.887204916,17.9208412,227,brood
E-D3,Eggplant D3,Eggplant,D3,E D3,9750,8605,nest_soil,soil,soil,soil,28,6.947089146,0.91410116,18.81785725,194,brood
E-E2,Eggplant E2,Eggplant,E2,E E2,8860,7569,nest_soil,soil,soil,soil,40,6.617726777,0.913050905,15.02345462,152,empty
E-F2,Eggplant F2,Eggplant,F2,E F2,8807,7621,nest_soil,soil,soil,soil,46,6.761797677,0.908484349,17.69675218,174,ants
E-G2,Eggplant G2,Eggplant,G2,E G2,9144,7967,nest_soil,soil,soil,soil,50,6.76606498,0.906055487,16.98059142,177,ants
E-I3,Eggplant I3,Eggplant,I3,E I3,16068,13955,nest_soil,soil,soil,soil,12,7.330077039,0.911823723,23.85153561,263,seeds
E-J2,Eggplant J2,Eggplant,J2,E J2,8185,7225,nest_soil,soil,soil,soil,27,6.642906363,0.933131247,14.89161611,139,ants
E-K2,Eggplant K2,Eggplant,K2,E K2,8204,7133,nest_soil,soil,soil,soil,13,6.538282517,0.89519151,17.27482988,158,ants
E-L3,Eggplant L3,Eggplant,L3,E L3,13329,11842,nest_soil,soil,soil,soil,15,7.047896702,0.905741022,17.24332282,220,brood
