id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
C-E3,Carrot,E,E3,C E3,12867,11299,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_34,34,0.85,control near34,E_34,control,6.926036246,0.896235447,17.72397544,212,0.986009239,214.1176471,,34
C-E4,Carrot,E,E4,C E4,9106,8072,control,control far,control,soil,Carrot_control,Carrot_control,low,Carrot_34,34,0.85,control far34,E_34,control,6.72200225,0.903137617,17.77450935,174,0.985740483,176.3333333,,34
C-F1,Carrot,F,F1,C F1,18024,16177,sample,reproductives,reproductives,ants,Carrot_reproductives,Carrot_sample,low,Carrot_36,36,0.9,reproductives36,F_36,reproductives,4.89732959,0.863357258,7.319751817,51,0.938875734,51,,36
C-F2,Carrot,F,F2,C F2,53436,49335,sample,brood,brood,ants,Carrot_brood,Carrot_sample,low,Carrot_36,36,0.9,brood36,F_36,brood,0.804627312,0.135136175,9.362293327,62,0.164658863,87.09090909,,36
C-F3,Carrot,F,F3,C F3,9232,8266,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_36,36,0.9,soil36,F_36,soil,5.938378869,0.820398842,13.53345794,151,0.951299946,154,,36
C-F4,Carrot,F,F4,C F4,9002,7843,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_36,36,0.9,control near36,F_36,control,6.479689993,0.892840528,14.04245972,153,0.983112813,158.25,,36
C-F5,Carrot,F,F5,C F5,61661,55780,sample,ants,ants,ants,Carrot_ants,Carrot_sample,low,Carrot_36,36,0.9,ants36,F_36,ants,1.265862201,0.365916237,3.447062943,11,0.493300801,11,,36
C-F6,Carrot,F,F6,C F6,6870,6017,control,control far,control,soil,Carrot_control,Carrot_control,low,Carrot_36,36,0.9,control far36,F_36,control,6.167733364,0.882531355,13.30088244,127,0.977680848,127.5,,36
C-G1,Carrot,G,G1,C G1,56095,50331,sample,ants,ants,ants,Carrot_ants,Carrot_sample,medium,Carrot_26,26,0.65,ants26,G_26,ants,1.072976991,0.322998259,3.500003589,10,0.428458714,10,,26
C-G2,Carrot,G,G2,C G2,8363,7304,sample,soil,soil,soil,Carrot_soil,Carrot_sample,medium,Carrot_26,26,0.65,soil26,G_26,soil,6.687303729,0.921447754,16.01866402,153,0.987294197,153.1,,26
C-G2-1,Carrot,G,G2,C G2,6450,5692,control,control near,control,soil,Carrot_control,Carrot_control,medium,Carrot_26,26,0.65,control near26,G_26,control,5.458893607,0.818127342,11.33941261,102,0.935960667,102,,26
C-H1,Carrot,H,H1,C H1,16624,15063,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_30,30,0.75,soil30,H_30,soil,6.687169508,0.848341028,17.4512071,236,0.969741459,247.5,,30
C-H2,Carrot,H,H2,C H2,8369,7133,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_30,30,0.75,control near30,H_30,control,6.659902231,0.916485188,14.37566884,154,0.985462712,154.375,,30
C-I1,Carrot,I,I1,C I1,37529,34049,sample,leaf,seeds,seeds,Carrot_seeds,Carrot_sample,medium,Carrot_26,26,0.65,leaf26,I_26,seeds,5.507689092,0.73359613,17.02899818,182,0.937566635,198.4347826,,26
C-I2,Carrot,I,I2,C I2,32310,29094,sample,seeds,seeds,seeds,Carrot_seeds,Carrot_sample,medium,Carrot_26,26,0.65,seeds26,I_26,seeds,2.716945993,0.414510514,10.49174697,94,0.598672995,98.10526316,,26
C-I3,Carrot,I,I3,C I3,56788,50928,sample,ants,ants,ants,Carrot_ants,Carrot_sample,medium,Carrot_26,26,0.65,ants26,I_26,ants,0.944053513,0.336278646,3.123745763,7,0.375886369,10,,26
C-I4,Carrot,I,I4,C I4,10246,9036,sample,soil,soil,soil,Carrot_soil,Carrot_sample,medium,Carrot_26,26,0.65,soil26,I_26,soil,6.63620147,0.896677419,17.97070752,169,0.984576839,172.0555556,,26
C-I5,Carrot,I,I5,C I5,12194,10531,control,control near,control,soil,Carrot_control,Carrot_control,medium,Carrot_26,26,0.65,control near26,I_26,control,6.870012359,0.893776347,19.01818096,206,0.986919252,216.0588235,,26
C-I6,Carrot,I,I6,C I6,6592,5869,control,control far,control,soil,Carrot_control,Carrot_control,medium,Carrot_26,26,0.65,control far26,I_26,control,6.388021672,0.893461204,16.64778436,142,0.982306849,142,,26
C-J1,Carrot,J,J1,C J1,25122,21720,sample,reproductives,reproductives,ants,Carrot_reproductives,Carrot_sample,high,Carrot_17,17,0.425,reproductives17,J_17,reproductives,5.397232896,0.772281644,13.82094493,127,0.942340383,127.1666667,,17
C-J2,Carrot,J,J2,C J2,17555,15769,sample,soil,soil,soil,Carrot_soil,Carrot_sample,high,Carrot_17,17,0.425,soil17,J_17,soil,4.061099576,0.618141374,11.12548815,95,0.826176073,97.54545455,,17
C-J3,Carrot,J,J3,C J3,49897,45197,sample,ants,ants,ants,Carrot_ants,Carrot_sample,high,Carrot_17,17,0.425,ants17,J_17,ants,1.162220751,0.32419328,4.078628483,12,0.457251241,15,,17
C-J4,Carrot,J,J4,C J4,6855,6109,control,control near,control,soil,Carrot_control,Carrot_control,high,Carrot_17,17,0.425,control near17,J_17,control,6.063329123,0.855500658,15.38804562,136,0.972152932,136.8571429,,17
C-J5,Carrot,J,J5,C J5,8224,7089,control,control far,control,soil,Carrot_control,Carrot_control,high,Carrot_17,17,0.425,control far17,J_17,control,6.402255576,0.89169034,16.22001087,145,0.982308377,145,,17
C-K1,Carrot,K,K1,C K1,34510,30974,sample,seeds,seeds,seeds,Carrot_seeds,Carrot_sample,high,Carrot_6,6,0.15,seeds6,K_6,seeds,1.772791819,0.685809492,3.017657705,6,0.626730759,6,,6
C-K2,Carrot,K,K2,C K2,7819,6077,sample,soil,soil,soil,Carrot_soil,Carrot_sample,high,Carrot_6,6,0.15,soil6,K_6,soil,5.118736351,0.814384851,10.64439003,78,0.931216866,78,,6
C-K3,Carrot,K,K3,C K3,6701,5755,control,control near,control,soil,Carrot_control,Carrot_control,high,Carrot_6,6,0.15,control near6,K_6,control,6.679188279,0.906719539,18.88476246,165,0.985877993,165,,6
C-K4,Carrot,K,K4,C K4,9822,8662,control,control far,control,soil,Carrot_control,Carrot_control,high,Carrot_6,6,0.15,control far6,K_6,control,7.007670421,0.91677162,19.48138556,200,0.988781753,201.4,,6
DC-A1,DC,A,A1,DC A1,8486,7282,sample,soil,soil,soil,DC_soil,DC_sample,high,DC_16,16,0.301886792,soil16,A_16,soil,6.848825426,0.912228658,18.09338106,182,0.985974403,182.3333333,,16
DC-A2,DC,A,A2,DC A2,7564,6315,control,control near,control,soil,DC_control,DC_control,high,DC_16,16,0.301886792,control near16,A_16,control,6.229577797,0.887105028,14.49216931,130,0.975341644,130.25,,16
DC-A3,DC,A,A3,DC A3,11390,9899,control,control far,control,soil,DC_control,DC_control,high,DC_16,16,0.301886792,control far16,A_16,control,6.966035861,0.915700459,17.01878684,195,0.988714679,195.8333333,,16
DC-B1,DC,B,B1,DC B1,9692,8340,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_28,28,0.528301887,soil28,B_28,soil,6.325681417,0.886005451,13.96360316,141,0.976019723,143.1,,28
DC-B2,DC,B,B2,DC B2,15279,13186,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_28,28,0.528301887,ants28,B_28,ants,0.689379061,0.21747488,3.022140991,9,0.2115887,9,,28
DC-B4,DC,B,B4,DC B4,6857,5869,control,control far,control,soil,DC_control,DC_control,medium,DC_28,28,0.528301887,control far28,B_28,control,6.463835881,0.91476851,14.51176568,134,0.984810301,134,,28
DC-C1,DC,C,C1,DC C1,47723,44589,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_30,30,0.566037736,ants30,C_30,ants,0.102719841,0.036589546,3.184388291,7,0.020855736,7.333333333,,30
DC-C2,DC,C,C2,DC C2,14340,12426,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_30,30,0.566037736,soil30,C_30,soil,6.902344162,0.90470855,18.66840355,198,0.988058449,201.2142857,,30
DC-C3,DC,C,C3,DC C3,12361,10474,control,control near,control,soil,DC_control,DC_control,medium,DC_30,30,0.566037736,control near30,C_30,control,6.727322476,0.913253898,16.30400822,165,0.987390607,168,,30
DC-C4,DC,C,C4,DC C4,9258,7887,control,control far,control,soil,DC_control,DC_control,medium,DC_30,30,0.566037736,control far30,C_30,control,6.727901225,0.904941178,15.00438462,173,0.984596396,175.625,,30
DC-D1,DC,D,D1,DC D1,40572,37133,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_25,25,0.471698113,ants25,D_25,ants,1.254887186,0.362743747,3.596568043,11,0.536629701,14,,25
DC-D2,DC,D,D2,DC D2,8664,7254,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_25,25,0.471698113,soil25,D_25,soil,6.424630667,0.902469988,15.93159799,139,0.982956509,140,,25
DC-D3,DC,D,D3,DC D3,9889,8727,control,control near,control,soil,DC_control,DC_control,medium,DC_25,25,0.471698113,control near25,D_25,control,6.762785841,0.915906918,16.04029242,167,0.987580982,167.5454545,,25
DC-D4,DC,D,D4,DC D4,7764,6705,control,control far,control,soil,DC_control,DC_control,medium,DC_25,25,0.471698113,control far25,D_25,control,6.506728458,0.901312726,15.15034571,149,0.983606322,151.1428571,,25
DC-E2,DC,E,E2,DC E2,7087,6204,control,control near,control,soil,DC_control,DC_control,high,DC_11,11,0.20754717,control near11,E_11,control,6.142378597,0.85668659,16.10611687,144,0.970108306,144.375,,11
DC-E3,DC,E,E3,DC E3,8908,7977,sample,seeds,seeds,seeds,DC_seeds,DC_sample,high,DC_11,11,0.20754717,seeds11,E_11,seeds,5.795023655,0.817644309,13.58231945,136,0.954876896,137.875,,11
DC-E4,DC,E,E4,DC E4,8228,7034,control,control far,control,soil,DC_control,DC_control,high,DC_11,11,0.20754717,control far11,E_11,control,6.814792779,0.917660897,17.76911211,172,0.987447903,172.1,,11
DC-F1,DC,F,F1,DC F1,18714,16590,sample,seeds,seeds,seeds,DC_seeds,DC_sample,high,DC_0,0,0,seeds0,F_0,seeds,1.982642093,0.507473154,5.061522977,15,0.649091928,15.33333333,,0
DC-F2,DC,F,F2,DC F2,23133,20952,sample,ants,ants,ants,DC_ants,DC_sample,high,DC_0,0,0,ants0,F_0,ants,1.221076946,0.320715292,4.068102615,14,0.514342176,15.5,,0
DC-F2-1,DC,F,F2,DC F2,20191,17031,control,entrance soil,entrance soil,soil,DC_entrance soil,DC_control,high,DC_0,0,0,entrance soil0,F_0,soil,5.379197551,0.769700994,11.65461581,127,0.935047598,130,,0
DC-F4,DC,F,F4,DC F4,10386,8737,control,soil control near mound,control,soil,DC_control,DC_control,high,DC_0,0,0,soil control near mound0,F_0,control,4.817632832,0.759896974,8.799569776,81,0.934019021,83.14285714,,0
DC-G1,DC,G,G1,DC G1,38825,32899,sample,seeds,seeds,seeds,DC_seeds,DC_sample,high,DC_13,13,0.245283019,seeds13,G_13,seeds,1.16370278,0.450181687,2.956254826,6,0.510274315,6,,13
DC-G2,DC,G,G2,DC G2,41845,37901,sample,ants,ants,ants,DC_ants,DC_sample,high,DC_13,13,0.245283019,ants13,G_13,ants,1.006077146,0.634764005,2.617053244,3,0.500449048,3,,13
DC-G3,DC,G,G3,DC G3,6107,5374,sample,soil,soil,soil,DC_soil,DC_sample,high,DC_13,13,0.245283019,soil13,G_13,soil,6.393005854,0.919301896,12.1875128,124,0.983831839,124,,13
DC-G5,DC,G,G5,DC G5,9182,7937,control,control far,control,soil,DC_control,DC_control,high,DC_13,13,0.245283019,control far13,G_13,control,7.131536101,0.915719739,21.61973113,221,0.98911575,223,,13
DC-H1,DC,H,H1,DC H1,38180,34915,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_30,30,0.566037736,ants30,H_30,ants,1.120732809,0.433558633,3.005529881,6,0.478212402,7,,30
DC-H2,DC,H,H2,DC H2,10699,8896,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_30,30,0.566037736,soil30,H_30,soil,6.336376291,0.878898298,16.21296747,148,0.979718293,150.625,,30
DC-H3,DC,H,H3,DC H3,10613,9350,control,control near,control,soil,DC_control,DC_control,medium,DC_30,30,0.566037736,control near30,H_30,control,7.058350659,0.917444937,18.99536479,207,0.98968978,210.4375,,30
DC-H4,DC,H,H4,DC H4,11484,9722,control,control far,control,soil,DC_control,DC_control,medium,DC_30,30,0.566037736,control far30,H_30,control,7.205406844,0.922140852,18.05677774,225,0.99041232,226.75,,30
DC-I1,DC,I,I1,DC I1,48460,41843,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_24,24,0.452830189,ants24,I_24,ants,1.096711383,0.258175635,6.899839742,19,0.489965412,31,,24
DC-I2,DC,I,I2,DC I2,9361,7786,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_24,24,0.452830189,soil24,I_24,soil,5.983506383,0.854786626,12.29913828,128,0.968816626,128.75,,24
DC-J1,DC,J,J1,DC J1,31856,28869,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_19,19,0.358490566,ants19,J_19,ants,0.816762092,0.351760286,3.023700769,5,0.368939193,6,,19
DC-J2,DC,J,J2,DC J2,8322,7246,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_19,19,0.358490566,soil19,J_19,soil,6.506369794,0.902477548,14.8536333,148,0.983130689,148.8571429,,19
DC-J3,DC,J,J3,DC J3,8102,7012,control,control near,control,soil,DC_control,DC_control,medium,DC_19,19,0.358490566,control near19,J_19,control,7.004378048,0.930025665,16.79397045,185,0.990092838,185.9090909,,19
DC-J4,DC,J,J4,DC J4,8622,7223,control,control far,control,soil,DC_control,DC_control,medium,DC_19,19,0.358490566,control far19,J_19,control,6.642009764,0.931651857,14.30979851,140,0.987182355,140,,19
DC-K1,DC,K,K1,DC K1,32499,29668,sample,ants,ants,ants,DC_ants,DC_sample,medium,DC_18,18,0.339622642,ants18,K_18,ants,1.599441457,0.26968678,8.751705747,61,0.389729383,62.4,,18
DC-K2,DC,K,K2,DC K2,11037,9479,sample,soil,soil,soil,DC_soil,DC_sample,medium,DC_18,18,0.339622642,soil18,K_18,soil,7.031002461,0.908226112,20.27220644,214,0.988421018,217.2727273,,18
DC-K3,DC,K,K3,DC K3,8303,7317,control,control near,control,soil,DC_control,DC_control,medium,DC_18,18,0.339622642,control near18,K_18,control,6.934326659,0.904634413,19.74438464,203,0.985720925,203.75,,18
DC-K4,DC,K,K4,DC K4,7520,6218,control,control far,control,soil,DC_control,DC_control,medium,DC_18,18,0.339622642,control far18,K_18,control,6.474316538,0.926399863,15.408994,127,0.985456753,127,,18
DC-L1,DC,L,L1,DC L1,49490,46037,sample,ants,ants,ants,DC_ants,DC_sample,high,DC_14,14,0.264150943,ants14,L_14,ants,0.057439212,0.016603656,3.530837746,11,0.009372094,14.75,,14
DC-L2,DC,L,L2,DC L2,7767,6898,sample,soil,soil,soil,DC_soil,DC_sample,high,DC_14,14,0.264150943,soil14,L_14,soil,6.58215924,0.905786788,13.90680015,154,0.985139715,154.6666667,,14
DC-L4,DC,L,L4,DC L4,6284,5482,control,control far,control,soil,DC_control,DC_control,high,DC_14,14,0.264150943,control far14,L_14,control,6.59641151,0.923925214,15.28014704,141,0.986651107,141,,14
DC-M1,DC,M,M1,DC M1,23597,20949,sample,seeds,seeds,seeds,DC_seeds,DC_sample,low,DC_36,36,0.679245283,seeds36,M_36,seeds,1.283046519,0.328406053,4.281293038,15,0.486837662,15,,36
DC-M2,DC,M,M2,DC M2,32215,29916,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_36,36,0.679245283,ants36,M_36,ants,0.714313169,0.135148308,7.108206531,39,0.18454729,45.875,,36
DC-M4,DC,M,M4,DC M4,6699,5812,sample,soil,soil,soil,DC_soil,DC_sample,low,DC_36,36,0.679245283,soil36,M_36,soil,6.216884518,0.897001894,14.37099988,122,0.98125352,122.1428571,,36
DC-M5,DC,M,M5,DC M5,6376,5426,control,control far,control,soil,DC_control,DC_control,low,DC_36,36,0.679245283,control far36,M_36,control,6.463988998,0.929509135,12.8774289,124,0.985084864,124,,36
DC-N1,DC,N,N1,DC N1,49314,45122,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_53,53,1,ants53,N_53,ants,0.217487933,0.093666954,3.042250674,5,0.063189366,6,,53
DC-N2,DC,N,N2,DC N2,8190,7027,sample,soil,soil,soil,DC_soil,DC_sample,low,DC_53,53,1,soil53,N_53,soil,6.569063988,0.897176796,16.83307586,160,0.985048042,161.3125,,53
DC-N3,DC,N,N3,DC N3,7796,6679,control,control near,control,soil,DC_control,DC_control,low,DC_53,53,1,control near53,N_53,control,6.616253484,0.905866936,16.41297745,158,0.985336508,158.375,,53
DC-N4,DC,N,N4,DC N4,6713,5803,control,control far,control,soil,DC_control,DC_control,low,DC_53,53,1,control far53,N_53,control,7.305989076,0.938120247,20.69940414,221,0.991463969,221,,53
DC-O1,DC,O,O1,DC O1,6569,5564,sample,brood,brood,ants,DC_brood,DC_sample,low,DC_39,39,0.735849057,brood39,O_39,brood,6.025593404,0.915053564,10.60130471,96,0.979889723,96,,39
DC-O2,DC,O,O2,DC O2,22507,19438,sample,reproductives,reproductives,ants,DC_reproductives,DC_sample,low,DC_39,39,0.735849057,reproductives39,O_39,reproductives,5.764216314,0.846763006,11.03970398,112,0.962374571,112.5,,39
DC-O3,DC,O,O3,DC O3,47257,44090,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_39,39,0.735849057,ants39,O_39,ants,0.171389791,0.04954276,4.237108407,11,0.038132078,13,,39
DC-O4,DC,O,O4,DC O4,7846,6604,sample,soil,soil,soil,DC_soil,DC_sample,low,DC_39,39,0.735849057,soil39,O_39,soil,6.081092365,0.885119293,12.62473702,117,0.977013617,117,,39
DC-O5,DC,O,O5,DC O5,7529,6154,control,control near,control,soil,DC_control,DC_control,low,DC_39,39,0.735849057,control near39,O_39,control,6.276157729,0.908680635,13.30597998,120,0.982240539,120,,39
DC-P1,DC,P,P1,DC P1,14415,12535,sample,brood,brood,ants,DC_brood,DC_sample,low,DC_49,49,0.924528302,brood49,P_49,brood,7.191215308,0.909487139,19.41667108,240,0.989712698,247.7727273,,49
DC-P2,DC,P,P2,DC P2,38310,34447,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_49,49,0.924528302,ants49,P_49,ants,0.385331265,0.115996269,3.537116277,10,0.105766389,13,,49
DC-P3,DC,P,P3,DC P3,8146,6691,control,control near,control,soil,DC_control,DC_control,low,DC_49,49,0.924528302,control near49,P_49,control,6.483801985,0.909460596,14.08913862,140,0.983789211,140,,49
DC-P4,DC,P,P4,DC P4,8856,7626,sample,soil,soil,soil,DC_soil,DC_sample,low,DC_49,49,0.924528302,soil49,P_49,soil,6.621889549,0.895779925,17.1280585,168,0.98376507,168.2142857,,49
DC-P5,DC,P,P5,DC P5,7928,6556,control,control far,control,soil,DC_control,DC_control,low,DC_49,49,0.924528302,control far49,P_49,control,6.663995221,0.921865039,14.94859456,150,0.986530709,150,,49
DC-Q1,DC,Q,Q1,DC Q1,16638,13674,sample,brood,brood,ants,DC_brood,DC_sample,low,DC_49,49,0.924528302,brood49,Q_49,brood,5.933507335,0.786218406,18.47888175,187,0.962013836,196.5625,,49
DC-Q2,DC,Q,Q2,DC Q2,16618,8974,sample,reproductives,reproductives,ants,DC_reproductives,DC_sample,low,DC_49,49,0.924528302,reproductives49,Q_49,reproductives,5.414434223,0.737676413,17.55210534,162,0.929269566,164.1538462,,49
DC-Q3,DC,Q,Q3,DC Q3,45174,40859,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_49,49,0.924528302,ants49,Q_49,ants,0.980763406,0.618792814,2.611493848,3,0.484679514,3,,49
DC-Q4,DC,Q,Q4,DC Q4,10094,8846,sample,soil,soil,soil,DC_soil,DC_sample,low,DC_49,49,0.924528302,soil49,Q_49,soil,6.636305671,0.874065621,19.75685139,193,0.981777282,194.1052632,,49
DC-Q5,DC,Q,Q5,DC Q5,8605,7218,control,control near,control,soil,DC_control,DC_control,low,DC_49,49,0.924528302,control near49,Q_49,control,6.769424609,0.911551747,18.84671256,172,0.986459203,172.1,,49
DC-Q6,DC,Q,Q6,DC Q6,8294,7053,control,control far,control,soil,DC_control,DC_control,low,DC_49,49,0.924528302,control far49,Q_49,control,6.589000294,0.903268384,15.93107388,157,0.984257051,158.25,,49
DC-R1,DC,R,R1,DC R1,15349,8780,sample,reproductives,reproductives,ants,DC_reproductives,DC_sample,low,DC_44,44,0.830188679,reproductives44,R_44,reproductives,4.825388585,0.752862266,12.11775904,85,0.929220368,85,,44
DC-R2,DC,R,R2,DC R2,16615,12800,sample,brood,brood,ants,DC_brood,DC_sample,low,DC_44,44,0.830188679,brood44,R_44,brood,4.697812818,0.641608707,17.54192759,160,0.88756222,167.1578947,,44
DC-R3,DC,R,R3,DC R3,40633,35854,sample,ants,ants,ants,DC_ants,DC_sample,low,DC_44,44,0.830188679,ants44,R_44,ants,0.824074965,0.293541425,3.205469759,7,0.345207505,10,,44
DC-R5,DC,R,R5,DC R5,6744,5834,control,control near,control,soil,DC_control,DC_control,low,DC_44,44,0.830188679,control near44,R_44,control,6.484705232,0.90192816,15.49968555,146,0.983537414,146.2,,44
DC-R6,DC,R,R6,DC R6,9937,8666,control,control far,control,soil,DC_control,DC_control,low,DC_44,44,0.830188679,control far44,R_44,control,6.973110222,0.907189195,20.28663356,206,0.987600845,207.6470588,,44
E-A1,Eggplant,A,A1,E A1,31143,28102,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,medium,Eggplant_30,30,0.6,ants30,A_30,ants,0.712390925,0.449468631,2.74856671,3,0.310023954,3,,30
E-A3,Eggplant,A,A3,E A3,22130,19507,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_30,30,0.6,control near30,A_30,control,7.782265259,0.918181928,25.46210819,356,0.993244728,369.5384615,,30
E-A4,Eggplant,A,A4,E A4,8990,7780,control,control far,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_30,30,0.6,control far30,A_30,control,6.909043259,0.918320777,17.47695492,184,0.987987554,185.1111111,,30
E-B1,Eggplant,B,B1,E B1,42485,39335,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,medium,Eggplant_29,29,0.58,ants29,B_29,ants,0.323896049,0.07767431,4.002727167,18,0.06457547,21,,29
E-B2,Eggplant,B,B2,E B2,8744,7721,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,medium,Eggplant_29,29,0.58,soil29,B_29,soil,6.826049836,0.90541266,20.25174513,186,0.987079833,186.4615385,,29
E-B3,Eggplant,B,B3,E B3,8687,7107,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_29,29,0.58,control near29,B_29,control,6.367271676,0.92348658,13.33211866,119,0.984747811,119,,29
E-B4,Eggplant,B,B4,E B4,7205,6122,control,control far,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_29,29,0.58,control far29,B_29,control,6.605742621,0.915028178,17.18145511,149,0.985670199,149,,29
E-C1,Eggplant,C,C1,E C1,26313,24480,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,medium,Eggplant_25,25,0.5,ants25,C_25,ants,0.700287498,0.150798705,5.220222959,25,0.170242088,27.5,,25
E-C2,Eggplant,C,C2,E C2,9641,8361,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,medium,Eggplant_25,25,0.5,soil25,C_25,soil,7.03194457,0.922578951,19.54648706,197,0.989991539,198.8666667,,25
E-C3,Eggplant,C,C3,E C3,8531,7434,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_25,25,0.5,control near25,C_25,control,6.70493271,0.900844231,19.84616926,174,0.985974403,174.0769231,,25
E-C4,Eggplant,C,C4,E C4,10019,8553,control,control far,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_25,25,0.5,control far25,C_25,control,7.006592102,0.926523075,17.78706227,189,0.989812317,190.5,,25
E-D1,Eggplant,D,D1,E D1,10911,9412,sample,brood,brood,ants,Eggplant_brood,Eggplant_sample,medium,Eggplant_28,28,0.56,brood28,D_28,brood,4.755942389,0.660577615,17.65321422,147,0.847467105,158.3333333,,28
E-D1-1,Eggplant,D,D1,E D1,18968,15999,sample,brood,brood,ants,Eggplant_brood,Eggplant_sample,medium,Eggplant_28,28,0.56,brood28,D_28,brood,6.943752294,0.887204916,17.9208412,227,0.986183724,229.037037,,28
E-D3,Eggplant,D,D3,E D3,9750,8605,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,medium,Eggplant_28,28,0.56,soil28,D_28,soil,6.947089146,0.91410116,18.81785725,194,0.98855318,194.8823529,,28
E-D4,Eggplant,D,D4,E D4,7126,6256,control,control near,control,soil,Eggplant_control,Eggplant_control,medium,Eggplant_28,28,0.56,control near28,D_28,control,6.537188309,0.92374716,15.62777899,135,0.986493275,135.0909091,,28
E-E1,Eggplant,E,E1,E E1,13647,11509,control,control near,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_40,40,0.8,control near40,E_40,control,7.304341913,0.926636138,19.098376,236,0.991504764,245.75,,40
E-E2,Eggplant,E,E2,E E2,8860,7569,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,low,Eggplant_40,40,0.8,soil40,E_40,soil,6.617726777,0.913050905,15.02345462,152,0.985183871,152,,40
E-E3,Eggplant,E,E3,E E3,10111,8696,control,control far,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_40,40,0.8,control far40,E_40,control,6.807136024,0.904775698,16.4162514,184,0.985768596,186.3333333,,40
E-F1,Eggplant,F,F1,E F1,41553,36833,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,low,Eggplant_46,46,0.92,ants46,F_46,ants,0.355477877,0.153095989,2.954318237,5,0.118364782,6,,46
E-F2,Eggplant,F,F2,E F2,8807,7621,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,low,Eggplant_46,46,0.92,soil46,F_46,soil,6.761797677,0.908484349,17.69675218,174,0.986479066,179.1428571,,46
E-F3,Eggplant,F,F3,E F3,9647,7772,control,control near,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_46,46,0.92,control near46,F_46,control,6.51906182,0.910499856,13.59317399,143,0.983818699,144,,46
E-F4,Eggplant,F,F4,E F4,6884,6009,control,control far,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_46,46,0.92,control far46,F_46,control,6.489909807,0.914325229,14.16847744,137,0.985117255,137,,46
E-G1,Eggplant,G,G1,E G1,41100,36482,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,low,Eggplant_50,50,1,ants50,G_50,ants,0.328642532,0.207350352,2.620884994,3,0.109963205,3,,50
E-G2,Eggplant,G,G2,E G2,9144,7967,sample,soil,soil,soil,Eggplant_soil,Eggplant_sample,low,Eggplant_50,50,1,soil50,G_50,soil,6.76606498,0.906055487,16.98059142,177,0.98605752,177.8571429,,50
E-G3,Eggplant,G,G3,E G3,10873,9452,control,control near,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_50,50,1,control near50,G_50,control,7.000114424,0.909053857,18.96988575,208,0.98847648,213.5,,50
E-G4,Eggplant,G,G4,E G4,8901,7603,control,control far,control,soil,Eggplant_control,Eggplant_control,low,Eggplant_50,50,1,control far50,G_50,control,6.588523044,0.906662526,16.22934828,154,0.985231236,154.6,,50
E-H1,Eggplant,H,H1,E H1,31315,28717,sample,ants,ants,ants,Eggplant_ants,Eggplant_sample,medium,Eggplant_23,23,0.46,ants23,H_23,ants,1.336957965,0.843526559,2.620884994,3,0.564644531,3,,23
