id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
A-H3,Apple,H,H3,A H3,14030,12319,control,control near,control,soil,Apple_control,Apple_control,medium,Apple_13,13,0.433333333,control near13,H_13,control,7.286666629,0.917425662,20.34509488,246,0.991061522,249.0555556,,13
A-H4,Apple,H,H4,A H4,53823,49872,sample,ants,ants,ants,Apple_ants,Apple_sample,medium,Apple_13,13,0.433333333,ants13,H_13,ants,0.561734157,0.137428566,3.990325572,17,0.149120957,17.6,,13
A-H5,Apple,H,H5,A H5,13031,11408,control,control far,control,soil,Apple_control,Apple_control,medium,Apple_13,13,0.433333333,control far13,H_13,control,7.205719971,0.918453777,20.8428667,230,0.990645171,233.3,,13
A-I1,Apple,I,I1,A I1,16892,14740,sample,soil,soil,soil,Apple_soil,Apple_sample,low,Apple_22,22,0.733333333,soil22,I_22,soil,7.286003494,0.91599493,20.44594739,248,0.990417973,252.1363636,,22
A-I2,Apple,I,I2,A I2,12444,10804,control,control near,control,soil,Apple_control,Apple_control,low,Apple_22,22,0.733333333,control near22,I_22,control,7.257573778,0.921419179,22.32206386,235,0.991167405,242.1578947,,22
A-I3,Apple,I,I3,A I3,10663,9352,control,control far,control,soil,Apple_control,Apple_control,low,Apple_22,22,0.733333333,control far22,I_22,control,7.095020494,0.916495608,18.77625922,214,0.989398258,216.5,,22
A-J1,Apple,J,J1,A J1,46014,41497,sample,seeds,seeds,seeds,Apple_seeds,Apple_sample,high,Apple_0,0,0,seeds0,J_0,seeds,1.179242265,0.456193181,2.896664848,6,0.423316743,6,,0
A-J2,Apple,J,J2,A J2,37249,34820,sample,ants,ants,ants,Apple_ants,Apple_sample,high,Apple_0,0,0,ants0,J_0,ants,0.773971624,0.148570602,6.768742781,37,0.163868178,44.5,,0
A-J3,Apple,J,J3,A J3,10029,8604,control,entrance soil,entrance soil,soil,Apple_entrance soil,Apple_control,high,Apple_0,0,0,entrance soil0,J_0,soil,5.949202971,0.838148222,12.96204006,137,0.963820722,138.9090909,,0
A-J4,Apple,J,J4,A J4,10155,8684,control,soil control off mound,control,soil,Apple_control,Apple_control,high,Apple_0,0,0,soil control off mound0,J_0,control,6.070159811,0.85518912,15.2633609,137,0.968192329,137.2142857,,0
A-J5,Apple,J,J5,A J5,10867,9479,control,soil control near mound,control,soil,Apple_control,Apple_control,high,Apple_0,0,0,soil control near mound0,J_0,control,6.720422883,0.890488521,19.56394768,187,0.984634135,187.5882353,,0
A-M1,Apple,M,M1,A M1,49591,44622,sample,seeds,seeds,seeds,Apple_seeds,Apple_sample,high,Apple_0,0,0,seeds0,M_0,seeds,0.880808172,0.440404086,3.059743586,4,0.41431058,4,,0
A-M2,Apple,M,M2,A M2,51687,48073,sample,ants,ants,ants,Apple_ants,Apple_sample,high,Apple_0,0,0,ants0,M_0,ants,0.443464925,0.092247178,5.481088257,28,0.08944055,35.5,,0
A-M3,Apple,M,M3,A M3,11529,10186,control,entrance soil,entrance soil,soil,Apple_entrance soil,Apple_control,high,Apple_0,0,0,entrance soil0,M_0,soil,6.462067516,0.851116771,20.18622092,193,0.968350924,201.75,,0
A-M4,Apple,M,M4,A M4,17527,15329,control,soil control near mound,control,soil,Apple_control,Apple_control,high,Apple_0,0,0,soil control near mound0,M_0,control,3.090308539,0.480887212,12.43608233,86,0.637689264,89,,0
A-M5,Apple,M,M5,A M5,11426,9899,control,soil control off mound,control,soil,Apple_control,Apple_control,high,Apple_0,0,0,soil control off mound0,M_0,control,6.940075899,0.904547857,20.20670836,204,0.986403435,207.5,,0
